,number of agents,repetition,average utility of voted design,smax,smin,number of created designs
0,10,0,0.990834011840186,19.84829822322876,0.8708496546050272,10
1,10,1,0.691064990539971,18.76451603049834,0.4666665075109663,13
2,10,2,0.9342157674469468,25.6565150280718,0.907786859055888,10
3,10,3,0.8041985857945291,21.229081537906104,0.618712693384311,14
4,10,4,0.4758411913931836,24.433822261406043,0.4155063754586525,12
5,100,0,0.7846908121517601,18.081289351499063,0.6798897125202908,100
6,100,1,0.9192078601893569,18.260848489851018,0.7821477777428336,93
7,100,2,1.0010422619403274,17.947915203773697,0.9578086566447646,84
8,100,3,0.844663777872652,18.12337145307468,0.7896208944725273,92
9,100,4,0.7499593165519519,18.687804595157505,0.6630696614878537,96
10,1000,0,0.9105891624018791,18.23739426177809,0.7751389359858232,918
11,1000,1,1.0621232394443296,17.833450274032558,0.8362147372133224,934
12,1000,2,0.949667011151731,17.750516869872726,0.8160366469811894,914
13,1000,3,1.0920286302268791,17.294249892969408,0.8603838896380056,922
14,1000,4,0.9364848055963728,17.870919314379186,0.7907847622639442,904
15,5000,0,3.5927802399064923,18.22092165335248,0.7987009584928112,4653
16,5000,1,2.870391374026937,18.06792029398791,0.8098655409697175,4535
17,5000,2,4.485407236955313,17.8223322502969,0.8415574751579081,4621
18,5000,3,7.443492991816637,17.93806213405863,0.8167922101415602,4784
19,5000,4,3.8827391773112168,17.961738458195764,0.8306773269620391,4568
20,10000,0,18.2197636949824,18.221747965032684,0.8054516820835614,9500
21,10000,1,17.761316621280052,18.24690623236403,0.8055428185132825,9601
22,10000,2,17.199041379032685,17.86384109613271,0.8317645396491694,9769
23,10000,3,17.811641363493546,17.984384923556757,0.832724973440284,9714
24,10000,4,17.58503875311997,18.074603831076477,0.818197596861363,9466
0,10,5,0.5694024867491622,18.813312800967047,0.521287381141254,12
1,10,6,0.88775915785438,18.35210718603562,0.7973225409935116,15
2,10,7,1.2420256052880576,17.66943005011353,1.1156016099483692,9
3,10,8,1.193164465337321,20.629924895367974,1.0818971409821954,12
4,10,9,0.5864268313817758,20.0304683417242,0.4861230370232394,16
5,100,5,0.9671699643815928,17.83099712716013,0.7938043782794751,110
6,100,6,0.8894305226422966,17.921556209293463,0.7767056498278394,103
7,100,7,0.7908266831634054,16.68648465439692,0.7068903748267442,104
8,100,8,0.8700245906211438,19.15246408550797,0.768748786057641,83
9,100,9,0.6938839698258547,19.511612556134203,0.5712478544074585,91
10,1000,5,1.10147073691511,17.882871876569997,0.8938434731176275,907
11,1000,6,0.8976371933554308,18.2966966076034,0.7797152974493352,900
12,1000,7,0.9590430806022572,18.57794489270804,0.7672653878542398,892
13,1000,8,1.1910975309317713,18.445317738757023,0.8664047335340199,930
14,1000,9,0.969116903960562,18.591129567767705,0.7782521168918323,936
15,5000,5,4.339906927000087,18.025747889300696,0.8330581332855258,4674
16,5000,6,7.579149532598173,18.070997588937917,0.8210870687123323,4599
17,5000,7,1.8242452960975788,18.142326518503666,0.7822878808976524,4601
18,5000,8,4.103468365953781,18.10832655537328,0.8471598139998676,4557
19,5000,9,7.2394518694290175,18.08723758489496,0.8270482931464139,4623
20,10000,5,15.736611476293644,18.239366997699005,0.8359157335090834,9357
21,10000,6,17.993670506788146,18.08236417268271,0.8146749836602352,9577
22,10000,7,16.75267495294557,17.955436029662174,0.8055897395512859,9566
23,10000,8,17.952086276101994,18.08488291867668,0.8444833060195528,9811
24,10000,9,17.762128268278286,18.095831034563588,0.8253325255986219,9745
0,2000,0,1.2370747293238211,18.03036667283017,0.7920515347785189,1860
1,2000,1,1.0696234149552275,17.90098769238044,0.8206364601327377,1831
2,2000,2,1.4594792195183222,17.676299171190298,0.8313983168491628,1841
3,2000,3,0.945573764880862,17.693039154231045,0.8060645211196384,1727
4,2000,4,1.2170261340321995,17.952443305662513,0.822051023386371,1789
5,2000,5,1.181933012662913,18.062791584347853,0.8238943825617561,1817
6,2000,6,1.3272759589009762,18.04494611089415,0.8101733041469827,1833
7,2000,7,0.9446796035992622,18.27396801870949,0.7818444004493257,1797
8,2000,8,1.40378092864006,18.074242555489707,0.8535120314921365,1860
9,2000,9,1.2211139689421586,18.289609132168977,0.8105758048508641,1822
10,3000,0,1.2232584114268048,18.05029677336614,0.7861229966017215,2651
11,3000,1,1.4888731032991565,18.10040443147968,0.8060700709256607,2724
12,3000,2,1.7290985401227164,17.627450020046876,0.8486224191078978,2770
13,3000,3,1.7180141246911904,17.754091502277337,0.8127904944124025,2693
14,3000,4,1.229463847642367,17.97240464341777,0.8284553728575583,2705
15,3000,5,1.47804987042351,18.170822417088885,0.8193847442898643,2744
16,3000,6,2.351129976243087,17.97211400280442,0.8197421202625554,2773
17,3000,7,1.1418437392580154,18.15685974529271,0.7856475482969367,2682
18,3000,8,1.6982792799799602,18.14328517035125,0.8535988613152704,2784
19,3000,9,1.9571871397263647,18.17800004122165,0.8302940035902419,2749
20,4000,0,2.371813177089657,18.07110848229909,0.7987087514648338,3679
21,4000,1,2.422507129584371,18.10955833687659,0.806691074890174,3729
22,4000,2,1.991462575045137,17.643144720935876,0.8462748962974259,3680
23,4000,3,2.2817164592835657,17.987493215087213,0.8177403081053042,3630
24,4000,4,2.203597125133502,17.960736053402943,0.8360334657098136,3640
25,4000,5,3.538856526969924,18.088183662284138,0.8250035527714886,3687
26,4000,6,3.364961142835177,18.03268052948646,0.8170635205519639,3672
27,4000,7,1.7693037424333722,18.18559220797054,0.7855113877600673,3637
28,4000,8,3.431375697702274,18.182502553354137,0.8434430169108731,3698
29,4000,9,2.4880812963393355,18.14039375562373,0.8182300985442684,3695
30,6000,0,10.648530657640103,18.233836925995607,0.7946656910763508,5542
31,6000,1,6.405058631856035,18.11941179769022,0.8063190958965689,5546
32,6000,2,10.91740033521484,17.825408595351885,0.842015057212995,5613
33,6000,3,6.686483720405976,17.983561557589784,0.8227223590166771,5516
34,6000,4,11.503063668808467,17.96475047998445,0.825221948429481,5637
35,6000,5,5.014610181863362,18.130650187017697,0.837118439010267,5498
36,6000,6,6.918839354270603,18.059548116715693,0.8235503083886647,5538
37,6000,7,2.3639133474237743,18.09086756406008,0.7895500198310356,5455
38,6000,8,2.61085195456909,18.02705421104602,0.8457094900385851,5404
39,6000,9,10.084546978007143,18.133350711662,0.8236035990435312,5674
40,7000,0,13.452200576726232,18.2082278936404,0.7974697368555557,6591
41,7000,1,11.393890096209908,18.245780715226577,0.8050831719971524,6516
42,7000,2,15.66516607956749,17.839472397513784,0.8422247248492502,6646
43,7000,3,13.436972179802916,17.993360316624546,0.8214666748538159,6595
44,7000,4,7.21267736579748,17.99326706212712,0.825772121148376,6552
45,7000,5,14.414248215481438,18.147658237142316,0.8373078070067056,6610
46,7000,6,10.219928728330684,18.11227537609323,0.8156467309384877,6545
47,7000,7,14.81480457480189,18.017144265073515,0.7931063155444329,6508
48,7000,8,8.880294746976876,18.03058102271892,0.8412523654325386,6472
49,7000,9,8.576886479006077,18.13807272418247,0.8203035071927661,6353
50,8000,0,12.050222204596349,18.222030052716796,0.8060908752658776,7445
51,8000,1,15.30523776546999,18.210809932586457,0.8027481030296761,7538
52,8000,2,16.463346260082577,17.931925069968244,0.8310132462382157,7706
53,8000,3,16.10482629391327,17.995656507924807,0.827370979392495,7497
54,8000,4,17.424876085805227,18.04741839412701,0.8207301591012721,7758
55,8000,5,16.3708604758144,18.204109950466627,0.8322546299403292,7688
56,8000,6,15.015057685208577,18.07326071127021,0.8159529919869563,7495
57,8000,7,13.341041074191812,17.986211835118514,0.7964644575604534,7508
58,8000,8,15.383583607581617,18.08629394205261,0.8428409184669278,7503
59,8000,9,14.836593779721,18.16069982405784,0.8193080216873041,7402
